13/08/16-17:06:52 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:52 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T1:0:0Z
13/08/16-17:06:52 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:52 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T4:0:0Z
13/08/16-17:06:52 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:52 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T7:0:0Z
13/08/16-17:06:52 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:52 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T10:0:0Z
13/08/16-17:06:52 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:52 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T13:0:0Z
13/08/16-17:06:52 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:52 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T16:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T19:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-10-31T22:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T1:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T4:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T7:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T10:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T13:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T16:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T19:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-1T22:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-2T1:0:0Z
