Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
0.807948,0.41688,-0.564889,-0.361306,-1.01504,-0.390524,0.820712,0.452592
0.786533,0.52947,-0.308631,-0.0691283,-1.09171,-0.564471,0.827428,0.590064
0.765102,0.979831,-0.0523751,0.106178,-1.16838,-1.34723,0.834124,0.6588
0.816483,0.979831,0.103562,0.398356,-1.32979,-0.912365,0.860927,0.57288
0.919247,0.979831,0.41544,0.661315,-1.65262,-1.69513,0.914553,0.710351
0.896501,0.754651,0.445789,0.632098,-1.6728,-1.17329,0.921249,0.813455
0.873753,0.754651,0.47614,0.86584,-1.69296,-1.95605,0.927964,0.882191
0.851013,0.754651,0.506489,1.09958,-1.71314,-1.52118,0.93466,0.933743
0.763141,0.867241,0.410058,1.15802,-1.60822,-1.95605,0.961463,1.03685
0.719201,0.867241,0.361842,1.21645,-1.55577,-1.86907,0.974875,1.26024
0.740495,0.979831,0.223569,1.04115,-1.63243,-1.17329,0.994982,0.882191
0.761787,0.979831,0.0852941,0.719751,-1.70911,-0.912365,1.01509,0.968111
0.823685,0.867241,-0.117606,0.427573,-1.72122,-1.7821,1.0285,1.03685
0.864292,0.867241,-0.182231,0.398356,-1.65665,-1.60815,1.02178,1.00248
0.904893,0.979831,-0.246856,0.33992,-1.59209,-1.17329,1.01509,0.813455
0.907824,1.09242,-0.291907,0.164614,-1.55174,-0.912365,1.00168,0.6588
0.913672,0.867241,-0.382007,0.0769604,-1.47103,-0.825392,0.974875,0.641616
0.836284,0.867241,-0.413196,0.0185249,-1.18452,-1.26026,0.901141,0.727535
0.758885,0.64206,-0.444386,0.106178,-0.898021,-0.738418,0.827428,0.6588
0.681499,0.867241,-0.475574,-0.0983461,-0.611511,-0.912365,0.753695,0.624432
0.634287,0.867241,-0.332508,-0.185999,-0.684146,-1.60815,0.71348,0.6588
0.610675,0.52947,-0.260975,-0.361306,-0.720464,0.218291,0.693373,0.40104
0.623551,0.52947,-0.306064,-0.30287,-0.785024,0.0443435,0.686677,0.435408
0.63642,0.979831,-0.351154,-0.507395,-0.849597,-0.04263,0.679961,0.452592
0.66969,0.979831,-0.336082,0.193831,-1.18452,-1.26026,0.720176,0.607248
0.6901,0.979831,-0.275918,-0.0691283,-1.45489,-2.04302,0.767106,0.933743
0.710497,0.867241,-0.215757,0.0185249,-1.72525,-2.21697,0.814016,0.830639
0.777479,0.867241,-0.245123,0.0477427,-1.86649,-1.95605,0.834124,0.985295
0.911426,0.867241,-0.303853,0.223049,-2.14896,-2.30394,0.874338,1.15713
0.978099,0.979831,-0.428257,-0.0106928,-2.14088,-2.21697,0.874338,1.12277
1.04477,1.09242,-0.55266,-0.30287,-2.13282,-1.60815,0.874338,1.12277
1.11145,1.09242,-0.677062,-0.273653,-2.12474,-2.04302,0.874338,1.03685
1.36882,1.20501,-1.16891,-0.478177,-2.19738,-1.7821,0.820712,0.865007
1.4975,1.20501,-1.41483,-0.653483,-2.2337,-1.34723,0.793909,0.675984
0.463662,1.3176,-1.46577,-0.858008,-2.14492,-0.912365,0.773802,0.48696
-0.570179,1.20501,-1.51672,-1.12097,-2.05614,-0.564471,0.753695,0.349488
-1.49799,1.65537,-1.54422,-1.61767,-1.78981,0.827105,0.71348,-0.269135
-1.39194,-0.371252,-1.52077,-1.82219,-1.61227,0.914079,0.693373,-0.389423
-1.2859,-0.483843,-1.49733,-1.6761,-1.43471,1.00105,0.673265,-0.440975
-1.30085,-0.821613,-1.39781,-1.5008,-1.26926,1.175,0.646462,-0.372239
-1.33075,-0.596433,-1.19878,-1.38393,-0.938369,0.827105,0.592836,-0.0629272
-1.3408,-0.596433,-1.21622,-1.47158,-0.885915,1.175,0.58614,-0.440975
-1.35084,-1.15938,-1.23365,-1.5008,-0.833448,1.34895,0.579425,-0.458159
-1.36089,-1.27197,-1.25107,-1.5008,-0.780993,0.740132,0.572729,0.263568
-1.56243,-1.15938,-1.3861,-1.58845,-1.24909,-1.60815,0.66657,0.830639
-1.6632,0.979831,-1.45361,-1.44236,-1.48313,-1.7821,0.71348,1.00248
-1.84302,1.20501,-1.38016,-1.15019,-1.50331,-1.60815,0.767106,0.968111
-2.02283,1.20501,-1.30671,-1.06253,-1.52348,-1.69513,0.820712,1.12277
-2.2396,1.20501,-1.0986,-0.595048,-1.26523,-1.60815,0.901141,1.20869
-2.27654,1.20501,-0.963951,-0.56583,-0.986793,-1.69513,0.927964,1.17432
-2.31349,1.20501,-0.8293,-0.478177,-0.708358,-1.26026,0.954767,1.20869
-0.964815,1.3176,-0.861328,-0.273653,-0.595374,-0.912365,0.974875,1.17432
1.73253,1.3176,-0.925381,-0.507395,-0.369394,-0.129603,1.01509,1.01966
1.73434,1.54278,-1.07329,-0.419741,-0.421849,0.0443435,1.0553,1.00248
1.73616,1.43019,-1.2212,-0.682701,-0.474316,0.305264,1.09552,0.933743
1.73796,1.43019,-1.36912,-0.507395,-0.52677,0.392238,1.13573,1.00248
-0.892914,-2.1727,-1.21652,-0.858008,-0.510633,0.914079,1.20275,0.744719
-2.20836,-1.94752,-1.14022,-1.09175,-0.502558,1.08803,1.23627,0.641616
-2.1513,-1.83493,-1.21367,-1.29627,-0.559057,1.175,1.21616,0.418224
-2.09425,-1.38456,-1.28712,-1.38393,-0.615542,1.175,1.19605,0.194832
-2.07662,-1.15938,-1.41556,-1.6761,-0.655903,1.43592,1.16925,-0.0629272
-2.11605,0.979831,-1.47054,-1.70532,-0.639754,1.34895,1.16254,-0.131663
-2.15547,0.64206,-1.52553,-1.6761,-0.623617,0.740132,1.15584,0.452592
-0.868959,0.41688,-1.48122,-1.70532,-0.647829,-1.34723,1.16254,0.985295
1.70406,0.64206,-1.39262,-1.35471,-0.696252,-1.60815,1.17595,1.31179
1.66228,0.64206,-1.30057,-1.20862,-0.704327,-1.43421,1.18264,1.38053
1.62051,0.867241,-1.20852,-1.06253,-0.712389,-0.825392,1.18936,1.41489
1.57873,0.979831,-1.11647,-1.0041,-0.720464,-0.999339,1.19605,1.50081
1.63082,1.09242,-0.98223,-0.858008,-0.510633,-0.825392,1.16925,1.48363
1.65686,1.3176,-0.915111,-0.711919,-0.405712,-0.912365,1.15584,1.38053
0.347428,1.3176,-0.985706,-0.653483,-0.393606,-0.738418,1.14914,1.32897
-0.962004,1.3176,-1.0563,-0.711919,-0.3815,-0.738418,1.14243,1.20869
-2.15813,1.54278,-1.26484,-0.682701,-0.437998,0.218291,1.13573,0.865007
-2.04483,-2.1727,-1.40278,-0.974879,-0.50659,0.653158,1.13573,0.727535
-1.93153,1.76796,-1.54073,-1.20862,-0.575194,0.740132,1.13573,0.590064
-1.63535,-2.06011,-1.59277,-1.38393,-0.40168,1.08803,1.08882,0.349488
-1.04298,-1.83493,-1.69684,-1.76376,-0.0546417,1.26197,0.994982,0.108913
-0.937766,-1.04679,-1.55517,-1.58845,-0.00621831,1.26197,0.968179,-0.0113753
-0.832562,-1.04679,-1.4135,-1.47158,0.0422051,1.34895,0.941356,0.108913
-0.727349,-0.934204,-1.27183,-1.38393,0.0906286,1.34895,0.914553,0.0745446
-0.639235,-0.934204,-1.02731,-1.12097,0.19555,1.34895,0.874338,-0.0113753
-0.595185,-0.821613,-0.905054,-1.1794,0.248005,1.175,0.854231,0.263568
-0.602297,-0.934204,-0.912957,-1.0041,-0.107096,0.479211,0.968179,0.830639
-0.60942,-0.821613,-0.920859,-0.945661,-0.46221,-0.477498,1.08211,1.07121
-0.663947,-0.596433,-0.976599,-0.82879,-1.09978,-1.86907,1.3167,1.58673
-0.71135,-0.709023,-1.02444,-0.799572,-1.38225,-2.82578,1.43734,1.91323
-0.758758,-0.483843,-1.07227,-0.595048,-1.66472,-3.26065,1.55799,1.93041
-0.787891,-0.596433,-1.06901,-0.595048,-1.74139,-3.26065,1.61831,2.03352
-0.846162,-0.596433,-1.06248,-0.56583,-1.89473,-3.34762,1.73895,2.0507
-0.828001,-0.709023,-0.971007,-0.858008,-1.71718,-2.99973,1.73226,1.99915
-0.809837,-0.934204,-0.879533,-0.916443,-1.53963,-2.47789,1.72554,1.9476
-0.791672,-0.934204,-0.788059,-1.0041,-1.36207,-1.43421,1.71884,1.58673
-0.710425,-1.04679,-0.687297,-0.916443,-0.934338,-0.825392,1.5982,1.1915
-0.669795,-1.04679,-0.636918,-0.945661,-0.720464,-0.390524,1.53788,1.05403
-0.499452,-0.934204,-0.758866,-0.82879,-0.0748222,-1.08631,1.49766,1.20869
-0.32911,-0.596433,-0.880812,-1.03331,0.570832,-0.477498,1.45745,1.27742
-0.0473092,-0.821613,-0.942698,-1.12097,1.45456,0.479211,1.36361,1.15713
0.0641489,-0.821613,-0.882636,-1.0041,1.69263,0.218291,1.31,1.24305
0.175604,-0.596433,-0.822575,-0.858008,1.93072,0.305264,1.25638,1.27742
0.221588,-0.258662,-0.719144,-0.945661,1.85405,1.175,1.22286,1.22587
0.313547,-0.146072,-0.512287,-1.0041,1.70071,1.08803,1.15584,1.27742
0.293342,0.30429,-0.452712,-0.595048,1.64421,1.175,1.16254,1.26024
0.273134,0.41688,-0.393137,-0.361306,1.58772,0.827105,1.16925,1.31179
0.252936,0.30429,-0.333563,-0.127564,1.53123,0.131317,1.17595,1.48363
0.404586,0.41688,-0.310841,0.427573,0.740314,0.131317,1.33681,1.44926
0.480419,0.41688,-0.29948,0.310702,0.344852,0.218291,1.41724,1.44926
0.592031,0.52947,-0.288618,0.60288,0.312565,-0.30355,1.38372,1.6211
0.703636,0.64206,-0.277759,0.456791,0.280291,-0.30355,1.35022,1.58673
0.762024,0.64206,-0.546519,-0.185999,0.316609,-0.216577,1.30329,1.50081
0.708807,0.754651,-0.826139,-0.419741,0.3852,-0.216577,1.2899,1.39771
0.655585,0.64206,-1.10576,-0.419741,0.453804,0.0443435,1.27648,1.26024
0.448015,0.754651,-1.03153,-0.711919,0.409412,0.218291,1.26307,1.13995
0.0328894,0.30429,-0.883054,-0.974879,0.32064,0.392238,1.23627,1.13995
0.0364453,0.079109,-0.582902,-0.799572,0.352926,0.653158,1.24297,1.13995
0.0400014,-0.258662,-0.282752,-0.711919,0.3852,0.305264,1.24968,1.17432
0.0435631,-0.0334813,0.0173989,-0.507395,0.417487,-0.129603,1.25638,1.22587
0.0418641,0.079109,0.201064,0.193831,0.732239,-0.216577,1.16254,1.1915
