x,Forecast,Real
384,0.779095,4.02105
385,0.759272,3.91795
386,0.720641,3.98668
387,0.699781,4.00387
388,0.719501,4.08978
389,0.798177,4.0726
390,0.863362,4.24444
391,0.876833,4.10697
392,0.719407,4.31318
393,0.7218,4.22726
394,0.815454,4.19289
395,0.786701,4.1757
396,0.833135,3.9695
397,0.802188,3.9695
398,0.752782,3.93513
399,0.739039,4.02105
400,0.735419,4.02105
401,0.742432,3.98668
402,0.726791,4.02105
403,0.743809,4.02105
404,0.73504,4.00387
405,0.779233,4.03823
406,0.76062,3.9695
407,0.769155,4.03823
408,0.781989,4.1757
409,0.847667,4.24444
410,0.805763,4.29599
411,0.821766,4.48502
412,0.855107,4.51938
413,0.837003,4.55375
414,0.824953,4.53657
415,0.762808,4.53657
416,0.76288,4.36473
417,0.716104,4.26162
418,0.748826,4.22726
419,0.73298,4.10697
420,0.74274,3.98668
421,0.74548,3.93513
422,0.754994,3.86639
423,0.724073,3.76329
424,0.766328,3.71174
425,0.764442,3.60863
426,0.790921,3.5399
427,0.800474,3.60863
428,0.856424,4.03823
429,0.881412,4.14134
430,0.953024,4.36473
431,0.935505,4.51938
432,1.0007,4.69122
433,0.996469,4.69122
434,0.994663,4.67404
435,0.982139,4.36473
436,0.882855,4.08978
437,0.883097,3.83202
438,0.809452,3.66019
439,0.847957,3.57427
440,0.788318,3.48835
441,0.762931,3.55708
442,0.740696,3.50553
443,0.729669,3.62582
444,0.648382,3.67737
445,0.617879,3.74611
446,0.62956,3.59145
447,0.688312,3.57427
448,0.806916,4.03823
449,0.909539,4.33036
450,0.980572,4.48502
451,1.03129,4.62249
452,1.04886,4.94898
453,1.04163,4.91462
454,0.915419,4.69122
455,0.916912,4.5022
456,0.762134,4.22726
457,0.730724,4.15852
458,0.721312,4.02105
459,0.691069,3.79766
460,0.69786,3.71174
461,0.665804,3.74611
462,0.696441,3.72892
463,0.653375,3.66019
464,0.712375,3.67737
465,0.659076,3.66019
466,0.665664,3.90076
467,0.727305,4.14134
468,0.898814,4.57094
469,0.971561,4.69122
470,1.03019,4.91462
471,1.11733,4.9318
472,1.15955,4.96617
473,1.0699,4.77714
474,0.982599,4.57094
475,0.916336,4.26162
476,0.844595,3.95231
477,0.843125,3.88358
478,0.712685,3.79766
479,0.608537,3.81484
480,0.617783,3.69455
481,0.601984,3.79766
482,0.582265,3.86639
483,0.566521,3.90076
484,0.57103,3.86639
485,0.717587,3.84921
486,0.812277,3.90076
487,0.929829,4.05542
488,1.04788,4.34754
489,1.12885,4.29599
490,1.14134,4.45065
491,1.16092,4.38191
492,1.07181,4.31318
493,0.94838,4.29599
494,0.834822,4.24444
495,0.800496,4.14134
496,0.674877,4.14134
497,0.697668,4.15852
498,0.73686,4.15852
499,0.758227,4.08978
500,0.749376,4.05542
501,0.752817,4.05542
502,0.757816,4.10697
503,0.753206,4.05542
504,0.754381,4.22726
505,0.772368,4.36473
506,0.811937,4.48502
507,0.844141,4.57094
508,0.90902,4.84588
509,0.947083,5.08646
510,0.941582,5.20674
511,0.936896,5.05209
512,0.936464,4.62249
513,0.93546,4.34754
514,0.889148,4.21007
515,0.900923,4.12415
516,0.880204,4.21007
517,0.873475,4.12415
518,0.866078,4.0726
519,0.84452,4.03823
520,0.851006,3.98668
521,0.85358,3.9695
522,0.831881,3.91795
523,0.850028,3.9695
524,0.891935,4.33036
525,0.95976,4.63967
526,1.01957,4.86306
527,1.09775,5.10364
528,1.24855,5.25829
529,1.31237,5.12082
530,1.25739,4.96617
531,1.16012,4.84588
532,0.953716,4.3991
533,0.926341,4.33036
534,0.890969,4.27881
535,0.892048,4.24444
536,0.868843,4.12415
537,0.861357,4.00387
538,0.826373,3.91795
539,0.811852,3.88358
540,0.780529,3.79766
541,0.756741,3.72892
542,0.768116,3.78047
543,0.825524,4.00387
544,1.0311,4.62249
545,1.15103,4.84588
546,1.25334,5.08646
547,1.29867,5.18956
548,1.26871,5.18956
549,1.20011,4.96617
550,1.12699,4.65686
551,1.01788,4.38191
552,0.947442,4.12415
553,0.927463,4.08978
554,0.909689,4.08978
555,0.899579,4.05542
556,0.862767,3.95231
557,0.830172,3.91795
558,0.814682,3.88358
559,0.797238,3.86639
