x,Forecast,Real
406,0.726405,1.40909
407,0.747203,1.47782
408,0.758521,1.61529
409,0.833184,1.68403
410,0.875466,1.73558
411,0.791523,1.92461
412,0.946688,1.95897
413,0.891663,1.99334
414,0.889523,1.97616
415,0.841089,1.97616
416,0.750075,1.80432
417,0.732017,1.70121
418,0.69667,1.66685
419,0.783365,1.54656
420,0.746707,1.42627
421,0.783256,1.37472
422,0.825945,1.30598
423,0.835496,1.20288
424,0.773945,1.15133
425,0.813321,1.04822
426,0.768849,0.979487
427,0.788196,1.04822
428,0.818099,1.47782
429,0.876003,1.58093
430,0.980985,1.80432
431,0.914856,1.95897
432,0.930375,2.13081
433,0.931206,2.13081
434,0.93027,2.11363
435,0.91714,1.80432
436,0.956273,1.52937
437,0.887104,1.27161
438,0.727877,1.09977
439,0.711305,1.01385
440,0.734445,0.927935
441,0.723911,0.996671
442,0.69093,0.945119
443,0.692739,1.06541
444,0.643171,1.11696
445,0.624782,1.18569
446,0.676642,1.03104
447,0.746944,1.01385
448,0.88029,1.47782
449,0.972628,1.76995
450,0.970134,1.92461
451,1.02172,2.06208
452,1.09459,2.38857
453,1.16438,2.35421
454,1.04751,2.13081
455,0.920953,1.94179
456,0.751131,1.66685
457,0.780847,1.59811
458,0.666434,1.46064
459,0.645331,1.23725
460,0.872611,1.15133
461,0.796771,1.18569
462,0.773674,1.16851
463,0.678634,1.09977
464,0.747308,1.11696
465,0.686114,1.09977
466,0.731921,1.34035
467,0.808975,1.58093
468,1.0482,2.01053
469,0.994508,2.13081
470,1.02413,2.35421
471,1.06843,2.37139
472,1.09345,2.40576
473,1.0125,2.21673
474,0.942119,2.01053
475,0.973094,1.70121
476,0.837336,1.3919
477,0.829147,1.32317
478,0.719945,1.23725
479,0.561939,1.25443
480,0.702707,1.13414
481,0.69508,1.23725
482,0.66177,1.30598
483,0.661375,1.34035
484,0.658392,1.30598
485,0.664482,1.2888
486,0.955429,1.34035
487,0.879641,1.49501
488,0.886882,1.78713
489,0.930623,1.73558
490,0.990464,1.89024
491,1.03341,1.8215
492,0.919306,1.75277
493,1.04605,1.73558
494,0.900841,1.68403
495,0.85121,1.58093
496,0.87185,1.58093
497,0.858225,1.59811
498,0.88407,1.59811
499,1.07846,1.52937
500,0.857098,1.49501
501,0.874816,1.49501
502,0.973529,1.54656
503,0.963348,1.49501
504,0.939852,1.66685
505,0.961639,1.80432
506,1.04927,1.92461
507,0.991426,2.01053
508,1.28679,2.28547
509,1.20535,2.52605
510,1.39595,2.64633
511,1.41409,2.49168
512,1.16613,2.06208
513,1.123,1.78713
514,0.880414,1.64966
515,0.801911,1.56374
516,0.763614,1.64966
517,0.745171,1.56374
518,0.702439,1.51219
519,0.657843,1.47782
520,0.691596,1.42627
521,0.726404,1.40909
522,0.698417,1.35753
523,0.728911,1.40909
524,0.847143,1.76995
525,1.15274,2.07926
526,1.45166,2.30265
527,1.52081,2.54323
528,1.42245,2.69788
529,1.24125,2.56041
530,1.19992,2.40576
531,1.12521,2.28547
532,0.912643,1.83869
533,0.849582,1.76995
534,0.849412,1.7184
535,0.969883,1.68403
