Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
-1.24822,-1.38456,0.0353049,-0.595048,0.756451,1.00105,1.373,0.933743
-1.20005,-1.27197,-0.18506,-0.595048,0.921902,1.175,1.18666,0.796271
-1.15632,-1.27197,-0.261616,-0.419741,0.00185629,-0.999339,1.4293,1.75857
-1.27013,-1.27197,-0.500345,-0.244435,-0.926264,-2.12999,1.81134,2.13662
-1.29279,-1.27197,-0.423574,-0.624266,0.0220247,0.740132,1.52113,1.03685
-1.19295,-1.27197,-0.485161,-0.858008,0.950144,1.175,1.35424,0.641616
-1.26272,-1.38456,-0.545691,-0.945661,0.938039,1.34895,1.21214,0.641616
-1.35778,-1.27197,-0.80803,-0.507395,0.280291,-0.912365,1.53923,1.82731
-1.56685,-1.38456,-0.710421,-0.332088,-0.159563,-1.69513,1.78252,1.93041
-1.46304,-1.38456,-0.521891,-0.916443,0.429593,0.479211,1.47957,1.00248
-1.26567,-1.38456,-1.17801,-1.0041,1.01067,1.34895,1.33681,0.590064
-1.17298,-1.38456,-1.41427,-1.23784,1.09945,1.43592,1.24297,0.675984
-2.31171,1.20501,-1.61546,-1.12097,0.792768,0.566185,1.45745,1.32897
1.56156,1.43019,-0.945503,-0.916443,0.954176,1.26197,1.3435,1.01966
1.5222,1.54278,-0.782296,-0.653483,0.901721,0.566185,1.32339,1.00248
1.45639,1.20501,0.53769,-0.0399106,0.381169,0.392238,1.29257,1.13995
1.42967,1.54278,0.42935,0.778186,-0.869765,-1.34723,1.13036,1.05403
1.28768,1.3176,0.69549,1.30411,-0.712389,-1.08631,1.10221,1.13995
1.31939,1.43019,1.70496,2.03455,-0.659935,-0.738418,1.13573,0.968111
1.336,1.43019,1.74679,1.80081,-0.978718,-1.26026,0.942703,0.865007
1.41173,1.43019,1.94877,2.26829,-1.4105,-1.69513,0.867643,0.727535
1.70656,1.76796,1.15733,1.09958,-2.28212,-2.73881,0.753695,0.624432
1.56114,1.54278,1.20094,1.04115,-1.44278,-1.86907,0.76039,0.744719
0.368381,1.76796,0.813177,0.223049,-1.64454,-1.43421,0.807321,0.538512
