x,MOS_Multiple_Forecast,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
481,-0.9060645611,-0.963468,-1.07678
482,-1.1152944333,-1.18599,-1.14552
483,-1.1392430085,-1.21146,-1.21425
484,-0.9325330491,-0.991618,-1.14552
485,-1.0308491433,-1.09618,-1.40328
486,-1.0863060324,-1.15516,-1.43764
487,-1.1934399411,-1.2691,-1.45483
488,-1.111514564,-1.18197,-1.31736
489,-1.1253740849,-1.19671,-1.60948
490,-1.3995180417,-1.48827,-1.45483
491,-1.4745136584,-1.56803,-1.55793
492,-1.6371044562,-1.74095,-1.55793
493,-1.4562348873,-1.54859,-1.4892
494,-1.3932182595,-1.48157,-1.55793
495,-1.5016121247,-1.59685,-1.62667
496,-1.581017589,-1.6813,-1.5923
497,-1.6371044562,-1.74095,-1.83288
498,-1.6037062077,-1.70543,-1.5923
499,-1.5375302862,-1.63505,-1.62667
500,-1.5658887089,-1.66521,-1.66104
501,-1.5652587307,-1.66454,-1.55793
502,-1.7511681255,-1.86226,-1.9188
503,-1.5186215368,-1.61494,-1.98753
504,-1.671132683,-1.77714,-1.88443
505,-2.0120731369,-2.13974,-2.03908
506,-1.9566162479,-2.08076,-2.05627
507,-2.032871821,-2.16186,-2.10782
508,-1.8041051016,-1.91856,-2.07345
509,-1.6705027048,-1.77647,-2.09064
510,-1.8784707401,-1.99765,-1.79851
511,-1.6207156198,-1.72352,-1.66104
512,-1.361700543,-1.44805,-1.42046
513,-1.17516117,-1.24966,-1.55793
514,-1.3049836975,-1.38773,-1.50638
515,-1.6931913235,-1.8006,-1.64385
516,-1.6345845433,-1.73827,-1.62667
517,-1.3446911309,-1.42996,-1.26581
518,-1.2911241765,-1.37299,-1.28299
519,-1.3843891617,-1.47218,-1.38609
520,-1.4165274538,-1.50636,-1.31736
521,-1.2804051441,-1.36159,-1.19707
522,-0.9879918187,-1.0506,-0.990862
523,-0.9136271205,-0.971511,-0.973678
524,-0.7844355115,-0.834112,-0.750286
525,-0.5260494727,-0.559311,-0.68155
526,-0.2065348603,-0.219498,-0.784654
527,-0.264514483,-0.281161,-0.68155
528,-0.3218631873,-0.342153,-0.990862
529,-0.6167992463,-0.655826,-0.733102
530,-0.7976697556,-0.848187,-0.990862
531,-0.9186697671,-0.976874,-0.93931
532,-0.7831746148,-0.832771,-0.85339
533,-0.3439208875,-0.365612,-0.733102
534,-0.5090344191,-0.541215,-0.629998
535,-0.4939093001,-0.525129,-0.801838
536,-0.5197487502,-0.55261,-0.904942
537,-0.5689049167,-0.604889,-1.0596
538,-0.524159538,-0.557301,-1.07678
539,-0.8348506943,-0.88773,-1.1627
540,-0.7762410933,-0.825397,-0.973678
541,-0.6527211688,-0.69403,-1.00805
542,-0.7573351647,-0.80529,-1.09397
543,-0.8739243884,-0.929286,-1.07678
544,-1.0459686207,-1.11226,-0.990862
545,-0.4907575284,-0.521777,-0.647182
546,-0.3640858323,-0.387058,-0.458159
547,-0.4731124965,-0.503011,-0.578446
548,-0.5468462762,-0.581429,-0.698734
549,-0.6073467522,-0.645773,-0.664366
550,-0.6205809962,-0.659848,-0.698734
551,-0.5468462762,-0.581429,-0.68155
552,-0.5304602605,-0.564002,-0.647182
553,-0.6224718711,-0.661859,-0.733102
554,-0.6785606189,-0.721511,-0.801838
555,-0.4567264809,-0.485584,-0.647182
556,-0.352112485,-0.374324,-0.372239
557,-0.4617691274,-0.490947,-0.68155
558,-0.524788576,-0.55797,-0.647182
559,-0.4352996991,-0.462796,-0.59563
560,-0.3792109513,-0.403144,-0.715918
561,-0.4586173558,-0.487595,-0.990862
562,-0.5203777882,-0.553279,-0.784654
563,-0.8146848092,-0.866283,-0.784654
564,-0.8922003388,-0.948723,-1.12833
565,-0.7869554244,-0.836792,-0.956494
566,-0.8732944102,-0.928616,-0.904942
567,-0.9930316445,-1.05596,-0.922126
568,-1.0308491433,-1.09618,-0.990862
569,-0.7107007916,-0.755693,-0.715918
570,-0.3817327447,-0.405826,-0.612814
571,-0.4315188895,-0.458775,-0.715918
572,-0.6205809962,-0.659848,-0.836206
573,-0.6565029187,-0.698052,-0.784654
574,-0.5752056393,-0.61159,-0.733102
575,-0.5292012444,-0.562663,-0.870574
576,-0.5827681987,-0.619633,-0.68155
577,-0.7113307698,-0.756363,-0.715918
578,-0.8714035353,-0.926605,-0.904942
579,-0.9930316445,-1.05596,-1.04241
580,-0.393706092,-0.41856,-1.00805
581,-0.2802695802,-0.297917,-0.423791
582,-0.380471848,-0.404485,-0.440975
583,-0.3256439969,-0.346174,-0.475342
584,-0.2764878304,-0.293895,-0.303503
585,-0.1958205291,-0.208103,-0.269135
586,-0.1290193307,-0.137058,-0.131663
587,-0.2159882947,-0.229552,-0.217583
588,-0.2758587924,-0.293226,-0.389423
589,-0.3899252824,-0.414539,-0.372239
590,-0.4642890403,-0.493627,-0.750286
591,-0.5058826474,-0.537863,-0.526894
592,-0.4655499371,-0.494968,-0.475342
593,-0.4750033715,-0.505022,-0.887758
594,-0.454206568,-0.482904,-0.904942
595,-0.4485348834,-0.476872,-0.561262
596,-0.4170237487,-0.443359,-0.59563
597,-0.4132419989,-0.439337,-0.647182
598,-0.437190574,-0.464807,-0.629998
