x,Forecast,Real
92,1.41495,1.26024
93,1.5018,1.05403
94,1.03382,0.985295
95,1.03688,1.00248
96,0.909905,0.985295
97,1.2714,1.13995
98,1.18067,0.985295
99,0.977506,0.899375
100,1.0396,0.882191
101,1.04126,1.03685
102,1.18249,1.39771
103,0.937836,1.48363
104,0.970817,1.10558
105,0.946464,0.727535
106,1.09561,0.813455
107,1.42158,1.6211
108,1.31954,1.39771
109,1.02863,0.469776
110,0.791617,0.538512
111,0.873484,0.744719
112,1.55697,1.82731
113,1.22542,1.31179
114,0.791019,0.607248
115,0.782163,0.641616
116,0.947788,1.39771
117,1.79753,1.99915
118,1.24208,1.12277
119,0.274393,0.693168
120,0.518285,0.882191
121,1.56761,1.12277
122,1.71895,1.27742
123,0.76966,1.17432
124,0.881403,1.01966
125,0.800716,1.0884
126,1.1622,1.74139
127,1.23309,1.87886
128,1.01816,1.13995
129,1.00391,1.00248
130,1.02148,1.13995
131,1.69268,2.17099
132,1.64612,1.56955
133,1.12993,1.15713
134,0.891365,0.847823
135,1.13822,1.26024
136,2.10622,2.20536
137,1.37567,1.1915
138,1.17083,0.950927
139,0.876091,0.830639
140,1.44261,1.56955
141,2.00892,2.23972
142,1.32766,1.13995
143,1.0245,0.779087
144,0.801319,0.57288
145,1.63329,1.74139
146,1.94592,2.11944
147,1.12625,1.1915
148,0.897609,0.641616
149,0.785906,0.555696
150,1.76956,1.56955
151,1.8845,1.05403
152,1.13524,1.00248
153,0.887313,1.10558
154,0.866309,0.968111
155,1.28472,1.03685
156,0.958263,0.985295
157,0.950084,0.865007
158,1.00143,0.796271
159,0.993231,0.57288
160,1.11605,0.865007
161,0.976291,0.57288
162,0.8336,0.194832
163,0.704298,-0.544078
164,0.56596,0.882191
165,0.689393,0.933743
166,0.592763,0.899375
167,0.216673,0.933743
168,0.221712,0.830639
169,0.679737,0.916559
170,0.943588,0.641616
171,0.910045,0.555696
172,0.912155,0.624432
173,0.735978,0.727535
174,0.853723,0.950927
175,0.655802,0.882191
176,0.752432,0.950927
177,0.636604,1.00248
178,0.773189,1.13995
179,0.9271,1.10558
180,0.85384,1.12277
181,0.917577,0.830639
182,1.00553,0.744719
183,1.04883,1.03685
184,1.19832,1.27742
185,0.979147,0.744719
186,0.769602,0.744719
187,0.804222,1.01966
188,1.0532,1.13995
189,1.20382,1.24305
190,0.962389,0.607248
191,0.867797,0.504144
192,0.744448,0.57288
193,1.12594,1.44926
194,1.35706,1.53518
195,0.744709,0.985295
196,0.832831,1.10558
197,0.700474,1.10558
198,1.48857,1.15713
199,1.3692,1.17432
200,1.03458,1.03685
201,1.05359,0.847823
